Default schedule
Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
732	0.251366	139	0.007194	129	0.023256	0.523429	732	0.251366	0.188000	0.202195	
700	0.275714	125	0.016000	175	0.017143	0.523429	700	0.275714	0.198000	0.202177	
685	0.294891	151	0.000000	164	0.000000	0.523429	685	0.294891	0.202000	0.202193	
716	0.277933	137	0.007299	147	0.000000	0.523429	716	0.277933	0.200000	0.202188	
724	0.285912	132	0.030303	144	0.006944	0.523429	724	0.285912	0.212000	0.202204	
762	0.280840	116	0.017241	122	0.000000	0.523429	762	0.280840	0.216000	0.202203	
712	0.280899	132	0.030303	156	0.000000	0.523429	712	0.280899	0.204000	0.202216	
745	0.304698	133	0.015038	122	0.000000	0.523429	745	0.304698	0.229000	0.202239	
713	0.267882	133	0.000000	154	0.000000	0.523429	713	0.267882	0.191000	0.202239	
714	0.288515	137	0.014599	149	0.000000	0.523429	714	0.288515	0.208000	0.202241	
727	0.294360	139	0.086331	134	0.000000	0.523429	727	0.294360	0.226000	0.202251	
710	0.257746	132	0.015152	158	0.000000	0.523429	710	0.257746	0.185000	0.202258	
700	0.247143	138	0.028986	162	0.000000	0.523429	700	0.247143	0.177000	0.202242	
722	0.295014	125	0.024000	153	0.006536	0.523429	722	0.295014	0.217000	0.202252	
733	0.294679	143	0.020979	124	0.000000	0.523429	733	0.294679	0.219000	0.202268	
711	0.292546	131	0.022901	158	0.006329	0.523429	711	0.292546	0.212000	0.202299	
726	0.278237	136	0.007353	138	0.000000	0.523429	726	0.278237	0.203000	0.202277	
726	0.276860	136	0.014706	138	0.000000	0.523429	726	0.276860	0.203000	0.202276	
720	0.269444	127	0.039370	153	0.000000	0.523429	720	0.269444	0.199000	0.202264	
703	0.267425	151	0.039735	146	0.000000	0.523429	703	0.267425	0.194000	0.202264	
742	0.265499	116	0.000000	142	0.000000	0.523429	742	0.265499	0.197000	0.202260	
733	0.227831	113	0.026549	154	0.000000	0.523429	733	0.227831	0.170000	0.202246	
712	0.294944	151	0.013245	137	0.000000	0.523429	712	0.294944	0.212000	0.202244	
737	0.283582	126	0.015873	137	0.000000	0.523429	737	0.283582	0.211000	0.202254	
728	0.280220	130	0.015385	142	0.000000	0.523429	728	0.280220	0.206000	0.202256	
